,ORIG_FID,OBJECTID *,NAME,BOROUGH,Long,Lat,Length,Width,Diameter,Radius
57,57,58,Chislehurst,Bromley,0.074292,51.413093,5185.78585,3180.311784,6083.318003,3042
58,58,59,Mottingham and Chislehurst North,Bromley,0.041592,51.432307,3214.905141,1182.175015,3425.369007,1713
59,59,60,Orpington,Bromley,0.109417,51.371321,2349.880482,2269.889626,3267.160418,1634
60,60,61,Cray Valley West,Bromley,0.102653,51.400349,3556.168188,2054.446892,4106.955589,2053
61,61,62,Cray Valley East,Bromley,0.131661,51.391668,4575.797397,4430.149927,6368.999152,3184
62,62,63,Bedfont,Hounslow,-0.439946,51.450406,3317.313816,2224.245764,3993.975485,1997
63,63,64,Hanworth,Hounslow,-0.391467,51.432512,3173.190941,2640.222377,4127.943186,2064
64,64,65,Cranford,Hounslow,-0.404873,51.473492,3597.034277,1438.961655,3874.179427,1937
65,65,66,Syon,Hounslow,-0.317108,51.478947,2936.30215,1387.269589,3247.520166,1624
66,66,67,Heston West,Hounslow,-0.397364,51.488042,2519.564784,2209.770259,3351.311877,1676
67,67,68,Heston East,Hounslow,-0.370406,51.483988,2984.98339,1710.720198,3440.449016,1720
68,68,69,Osterley and Spring Grove,Hounslow,-0.34427,51.48671,3345.73242,2751.526577,4331.838401,2166
69,69,70,Brentford,Hounslow,-0.301699,51.492722,3360.257468,1702.495018,3766.937687,1883
70,70,71,Chiswick Homefields,Hounslow,-0.254335,51.48394,3442.24911,1149.984888,3629.262208,1815
71,71,72,Feltham West,Hounslow,-0.428103,51.439258,2578.01031,2122.586225,3339.387585,1670
72,72,73,Hanworth Park,Hounslow,-0.402298,51.440403,2821.238264,1995.433331,3455.595393,1728
73,73,74,Feltham North,Hounslow,-0.410766,51.45769,2630.656828,2047.424397,3333.511963,1667
74,74,75,Hounslow Heath,Hounslow,-0.381282,51.459009,2758.088681,1478.672605,3129.460951,1565
75,75,76,Hounslow West,Hounslow,-0.383126,51.468388,2102.267527,1395.884342,2523.493977,1262
76,76,77,Heston Central,Hounslow,-0.380811,51.478877,1938.193056,1461.821814,2427.656347,1214
77,77,78,Hounslow South,Hounslow,-0.350079,51.463037,2888.657965,1188.848174,3123.732514,1562
78,78,79,Isleworth,Hounslow,-0.331609,51.464882,2361.43191,1447.030531,2769.523068,1385
79,79,80,Hounslow Central,Hounslow,-0.356658,51.471037,1899.464094,1446.715539,2387.666161,1194
80,80,81,Chiswick Riverside,Hounslow,-0.270523,51.483333,2161.850282,1614.283814,2698.056499,1349
81,81,82,Turnham Green,Hounslow,-0.270448,51.49287,2691.352648,1232.847241,2960.285695,1480
82,82,83,Norwood Green,Ealing,-0.360913,51.50213,3050.85521,2163.485773,3740.105373,1870
83,83,84,Southall Green,Ealing,-0.389949,51.50001,2086.416697,1152.725708,2383.675983,1192
84,84,85,Northolt West End,Ealing,-0.394109,51.538279,3026.755342,1817.630787,3530.584878,1765
85,85,86,Dormers Wells,Ealing,-0.3616,51.515862,2584.403198,1600.700953,3039.96438,1520
86,86,87,Greenford Broadway,Ealing,-0.363298,51.532301,2528.624943,1627.18099,3006.935662,1503
87,87,88,North Greenford,Ealing,-0.33291,51.550443,4002.57016,1477.17636,4266.452611,2133
88,88,89,Northfield,Ealing,-0.315192,51.498441,2457.503965,1246.162841,2755.40334,1378
89,89,90,East Acton,Ealing,-0.260536,51.521547,3449.20219,2696.466585,4378.119207,2189
90,90,91,Southall Broadway,Ealing,-0.383422,51.509294,2706.992996,1329.26951,3015.75339,1508
91,91,92,Elthorne,Ealing,-0.333877,51.505074,2159.13494,1651.502185,2718.33095,1359
92,92,93,Walpole,Ealing,-0.315519,51.506864,1641.350863,1281.733815,2082.516321,1041
93,93,94,Lady Margaret,Ealing,-0.370606,51.523041,1775.888071,1482.529177,2313.367935,1157
94,94,95,Northolt Mandeville,Ealing,-0.371672,51.548486,2590.391172,1924.946324,3227.312314,1614
95,95,96,Hobbayne,Ealing,-0.340758,51.519369,1869.288163,1546.590712,2426.14531,1213
